epoch,accuracy,loss,val_accuracy,val_loss
0,0.56771386,1.4090272518617513,0.71575797,1.002060296687674
1,0.6277985,1.2798070617830322,0.72639626,0.9755530851952573
2,0.6580657,1.1923921952115448,0.73171544,0.9332610673092782
3,0.68771654,1.1097647697686641,0.85255986,0.9022539968186236
4,0.7243803,1.0220359892987494,0.87117684,0.8266322371807504
5,0.76649123,0.9464943857589511,0.88264626,0.7784661701385011
6,0.8004897,0.8910214569268704,0.8856383,0.7469828433178841
7,0.83070695,0.8413131519167154,0.89295214,0.719367781852154
8,0.8507962,0.8099795157975479,0.8962766,0.7108564605104163
9,0.86397254,0.7847674089962485,0.8956117,0.7010351622358282
10,0.8712187,0.7698581001397643,0.8959442,0.7044092581627217
11,0.8764159,0.755462228997684,0.8962766,0.7008541632205882
12,0.87929773,0.7473630981404644,0.89611036,0.6958503139779922
13,0.88192964,0.7382644060323996,0.8977726,0.6898510227812097
14,0.8852945,0.7319141673380887,0.89827126,0.6797011862409875
15,0.8879764,0.7232860216199716,0.8992686,0.6767278047318154
16,0.8873601,0.7190814634630167,0.9030917,0.6753691815315409
17,0.89020854,0.7136543043640885,0.90442157,0.6698367988809626
18,0.890625,0.7107753429585683,0.89827126,0.6798836588859558
19,0.8921742,0.7052275710014392,0.90076464,0.6690313220024109
